time,Processes,FD,CPU,Apache children,errors,priority,memory,deleted FD,failed requests,no. of connections,halfopen connections,authenticated,transaction,stay-time
39,348,3116,57.21,6,O,3,38.2,150,0,898,172,1,1,4
40,348,3116,57.63,6,O,3,38.2,150,0,898,172,0,0,4
41,348,3115,57,6,O,3,38.2,150,0,901,172,2,2,4
42,348,3115,55.72,6,O,3,40,150,0,901,172,1,1,4
43,348,3115,53.75,6,O,3,35.5,150,0,897,172,3,3,4
44,348,3116,53.1,6,O,9,36.2,150,0,898,172,4,4,4
45,348,3116,48.03,6,O,9,36.6,150,0,898,172,0,0,4
46,348,3116,57.33,6,O,9,36.1,150,0,898,172,0,0,4
47,348,3116,57.07,6,O,9,38,150,0,898,172,0,0,4
48,348,3116,54.54,6,O,9,35.4,150,0,898,172,0,0,4
49,348,3116,51.03,6,O,9,36.2,150,0,898,172,0,0,4
50,348,3115,57.33,6,O,9,38.2,150,0,898,172,0,0,4
51,348,3115,57.2,6,O,9,38.2,150,0,898,172,0,0,4
52,348,3115,57.39,6,O,9,38.2,150,0,898,172,0,0,4
53,348,3116,53.42,6,O,2,38.2,150,0,898,172,0,0,4
54,348,3116,52.57,6,O,2,38.2,150,0,898,172,0,0,4
55,348,3116,51.59,6,O,2,40.02,150,0,898,172,0,0,4
56,348,3116,56.01,6,O,2,40.02,150,0,898,172,0,0,0
57,348,3116,57.13,6,O,2,40.02,150,0,898,172,0,0,0
58,348,3115,57.21,6,O,2,40.02,150,0,898,172,0,0,0
59,348,3115,57.57,6,O,2,40.02,150,0,898,172,0,0,0
60,348,3115,54.11,6,O,2,40.02,150,0,897,172,0,0,0
61,348,3115,52.89,6,O,2,40.02,150,0,898,173,0,0,0
62,348,3115,47,6,O,2,55.68,150,0,899,174,0,0,0
63,348,3115,53.83,6,O,2,55.68,150,0,899,175,0,0,0
64,348,3115,55.19,6,O,2,55.68,150,0,899,176,0,0,0
65,348,3115,52.44,6,O,2,55.68,150,0,899,177,0,0,0
66,348,3115,57.15,6,O,2,55.68,150,0,899,178,0,0,0
67,348,3115,51.19,6,O,2,55.68,150,0,899,179,3,3,0
68,348,3115,51.56,6,O,2,55.68,150,0,898,180,2,2,0
69,348,3115,53.57,6,O,2,55.68,150,0,899,181,1,1,0
70,348,3115,52.59,6,O,2,55.68,150,0,899,182,3,3,0
71,348,3115,51.69,6,O,2,55.68,150,0,899,183,5,5,0
72,348,3145,53,6,O,2,55.68,150,0,899,184,4,4,0
73,348,3145,42.51,6,O,2,55.68,150,0,897,185,0,0,0
74,348,3145,50.59,6,O,2,55.68,150,0,897,186,0,0,0
75,348,3145,49.22,6,O,2,55.68,150,0,897,187,0,0,0
76,348,3145,47.76,6,O,2,55.68,150,0,897,188,0,0,0
77,348,3145,53.28,6,O,2,55.68,150,0,897,189,0,0,0
78,348,3115,52.98,6,O,2,48.87,150,0,897,190,0,0,0
79,348,3115,56.62,6,O,2,48.87,150,0,897,191,0,0,0
80,349,3116,56.95,6,O,2,48.87,150,0,897,192,0,0,0
81,349,3116,57.36,6,O,2,45.12,150,0,897,193,0,0,0
82,349,3116,56.99,6,O,2,65.78,150,0,897,194,0,0,0
83,349,3116,53.69,6,O,2,65.78,150,0,897,195,0,0,0
84,349,3116,57.14,6,O,2,65.78,150,0,897,196,0,0,0
85,349,3116,56.98,6,O,2,65.78,150,0,897,180,0,0,0
86,349,3116,57.14,6,O,2,65.78,150,0,897,180,0,0,0
87,349,3115,56.63,6,O,2,65.78,150,0,897,180,0,0,0
88,349,3116,52.88,6,O,2,65.78,150,0,897,180,0,0,0
89,349,3116,56.95,6,O,2,65.78,150,0,897,180,0,0,0
90,347,3115,56.38,6,O,2,65.78,150,0,897,180,0,0,0
91,347,3115,56.84,6,O,2,65.78,150,0,897,180,0,0,0
92,347,3115,57.18,6,O,2,65.78,150,0,897,180,0,0,0
93,347,3115,56.95,6,O,2,65.78,150,0,897,180,0,0,0
94,347,3115,57.04,6,O,2,65.78,150,0,897,180,0,0,0
95,347,3115,54.04,6,O,2,65.78,150,0,897,180,9,0,0
96,347,3112,57.14,6,O,2,65.78,150,0,897,180,8,0,0
97,348,3112,57.2,6,O,2,65.78,150,0,897,180,7,0,0
98,348,3112,14.55,6,O,2,65.78,150,0,897,180,0,0,0
99,348,3112,38.61,6,O,2,65.78,150,0,897,180,0,0,0
100,348,3112,47.87,6,O,2,65.78,150,0,897,180,0,0,0
101,348,3112,10.19,6,O,2,65.78,150,0,897,180,0,0,0
102,348,3112,26.03,6,O,2,65.78,150,0,897,180,0,0,0
103,348,3112,48.29,6,O,2,65.78,150,0,897,180,0,0,0
104,348,3112,40.95,6,O,2,65.78,150,0,897,180,0,0,0
105,348,3112,14.44,6,O,2,35.5,150,0,897,180,0,0,0
106,348,3112,26.89,6,O,10,36.2,150,0,897,180,0,0,1
107,348,3112,47.52,6,O,10,36.6,150,0,897,180,0,0,1
108,349,3112,53.18,6,O,10,36.1,150,0,897,180,0,0,1
109,349,3114,23.59,6,O,10,38,150,0,897,180,0,0,1
110,349,3112,33.73,6,O,10,35.4,150,0,897,180,0,0,1
111,349,3103,37.52,6,O,10,36.2,150,0,897,180,0,0,1
112,349,3103,51.31,6,O,2,38.2,150,0,897,180,0,0,1
113,349,3103,57.01,6,O,2,38.2,150,0,897,180,0,0,1
114,349,3106,57.05,6,O,2,38.2,150,0,898,180,0,0,1
115,349,3103,57.3,6,O,2,38.2,150,0,898,180,0,0,1
116,349,3103,56.72,6,O,2,38.2,150,0,898,180,0,0,1
117,349,3103,50.09,6,O,2,38.2,150,0,898,180,0,0,1
118,349,3103,56.84,6,O,2,38.2,150,0,898,180,0,0,1
119,349,3106,57.24,6,O,2,38.2,150,0,898,180,0,0,1
120,349,3103,57.27,6,O,2,38.2,150,0,898,180,2,2,1
121,349,3106,56.99,6,O,2,42.56,150,0,898,180,3,3,1
122,349,3103,54,6,O,2,42.56,150,0,898,180,2,2,1
123,349,3103,57.17,6,O,2,42.56,150,0,898,180,5,5,1
124,349,3103,57.1,6,O,2,42.48,150,0,898,180,4,4,1
125,349,3103,57.07,6,O,2,42.48,150,0,898,180,7,7,1
126,349,3091,57.12,6,O,3,42.48,150,0,898,180,1,1,1
127,349,3094,53.99,6,O,3,42.48,150,7,898,180,0,0,0
128,349,3091,57.05,6,O,3,42.48,150,7,898,180,2,2,0
129,349,3091,57.17,6,O,2,42.48,150,7,900,180,1,0,0
130,349,3091,57.52,6,O,2,42.48,150,7,900,180,3,0,0
131,349,3091,57.62,6,O,2,42.48,150,7,900,180,4,0,0
132,349,3094,54.86,6,O,2,42.48,150,7,900,180,6,0,0
133,349,3092,57.06,6,O,2,41.96,150,7,899,180,5,0,0
134,349,3092,54.12,6,O,2,41.87,150,7,900,180,4,0,0
135,349,3092,50.44,6,O,2,35.39,150,7,900,180,7,0,4
136,349,3091,42.93,6,O,3,35.39,150,7,900,180,1,0,4
137,349,3091,50.75,6,O,2,35.39,150,7,900,180,0,0,4
138,349,3092,45.09,6,O,2,35.39,150,7,900,180,2,0,4
139,349,3092,49.44,6,O,2,35.39,150,7,900,180,1,0,4
140,349,3092,47.19,6,O,2,35.39,150,7,900,180,3,0,4
141,349,3092,48.22,6,O,2,30.9,150,7,900,180,4,0,4
142,349,3094,49.59,6,O,2,59.1,150,7,899,180,6,0,4
143,349,3091,49.97,6,O,2,59,150,7,900,180,2,0,4
144,349,3091,48.83,6,O,45,60.87,150,7,900,180,1,0,4
145,350,3094,43.93,6,O,7,60.87,150,7,903,180,3,0,4
146,347,3091,43.24,6,O,6,60.87,150,7,910,180,4,0,4
147,347,3094,39.4,6,O,6,60.87,150,7,910,180,7,0,4
148,347,3094,51.44,6,O,6,60.87,150,7,910,180,0,0,4
149,347,3094,42.54,6,O,6,60.87,150,7,910,180,0,0,4
150,347,3091,45.15,6,O,6,60.87,150,7,910,180,0,0,4
151,347,3091,53.49,6,O,2,58.46,150,7,910,180,0,0,4
152,347,3091,51.41,6,O,2,58.46,150,7,910,180,0,0,4
153,347,3091,47.67,6,O,2,58.46,150,7,910,180,0,0,4
154,347,3091,53.56,6,O,2,58.46,150,7,910,180,0,0,4
155,346,3091,51.94,6,O,2,58.46,150,7,910,180,0,0,4
156,346,3091,53.01,6,O,2,58.46,150,7,910,180,0,0,4
157,346,3091,51.76,6,O,2,58.46,150,7,910,200,0,0,4
158,346,3088,47.1,6,O,2,58.46,150,7,910,201,0,0,4
159,346,3091,49.22,6,O,2,58.46,150,7,910,202,0,0,4
160,346,3091,55.97,6,O,2,59.54,150,7,910,203,0,0,4
161,346,3091,53.3,6,O,2,43.53,150,7,911,204,0,0,4
162,346,3088,49.81,6,O,47,43.53,150,7,911,205,0,0,0
163,346,3091,56.96,6,O,35,43.53,150,7,911,206,0,0,0
164,346,3091,54.75,6,O,35,76.85,150,7,911,207,0,0,0
165,346,3092,56.01,6,O,35,76.85,168,7,910,208,0,0,0
166,346,3091,56.56,6,O,22,76.85,168,7,911,209,0,0,0
167,346,3092,49.19,6,O,12,76.85,168,7,911,210,0,0,0
168,346,3089,54.27,6,O,2,56.36,168,7,911,211,0,0,0
169,346,3088,47.04,6,O,2,56.36,168,7,910,212,0,0,0
170,346,3091,44.87,6,O,2,56.36,168,7,911,213,6,6,0
171,346,3091,49.5,6,O,2,56.36,168,7,911,214,9,9,0
172,346,3091,45.68,6,O,2,56.36,168,7,911,215,8,8,0
173,346,3088,39.32,6,O,2,56.36,168,7,910,216,7,2,0
174,346,3091,42.56,6,O,2,76,168,7,910,217,0,0,0
175,346,3091,41.19,6,O,2,76,168,7,910,218,0,0,0
176,346,3091,43.48,6,O,2,76,168,7,910,219,0,0,0
177,346,3091,44.64,6,O,2,45.16,168,7,910,219,0,0,0
178,346,3091,39.7,6,O,2,45.16,168,7,909,219,0,0,0
179,346,3090,40.51,6,O,2,45.16,168,7,910,219,0,0,0
180,346,3089,45.91,6,O,2,45.16,168,7,910,219,0,0,0
181,346,3091,40.96,6,O,45,47,168,7,910,219,0,0,0
182,346,3089,42.91,6,O,45,47.56,168,7,910,219,0,0,0
183,346,3088,50.97,6,O,35,75.58,168,7,910,219,0,0,0
184,346,3091,49.38,6,O,30,35.5,168,7,910,219,0,0,0
185,346,3091,55.4,6,O,25,36.2,168,7,912,219,0,0,0
186,346,3091,56.98,6,O,10,36.6,168,7,912,219,0,0,0
187,346,3091,57.07,6,O,2,36.1,168,7,912,219,0,0,0
188,346,3091,54.82,6,O,2,38,168,7,912,219,0,0,0
189,346,3088,50.34,6,O,2,35.4,168,7,912,219,0,0,0
190,346,3091,52.69,6,O,2,36.2,168,7,912,219,0,0,0
191,346,3088,56.97,6,O,2,38.2,168,7,913,219,0,0,0
192,347,3091,57.32,6,O,2,38.2,168,7,913,219,0,0,0
193,347,3091,57.31,6,O,2,38.2,168,7,910,219,0,0,0
194,347,3091,56.96,6,O,2,38.2,168,7,912,219,0,0,0
195,347,3090,56.23,6,O,2,38.2,168,7,912,219,0,0,0
196,347,3088,57.51,6,O,2,38.2,168,7,912,219,10,6,0
197,347,3091,57.22,6,O,2,38.2,168,7,912,219,6,6,0
198,347,3091,57.34,6,O,2,38.2,168,7,910,219,9,9,0
199,347,3091,57.45,6,O,2,38.2,168,7,910,219,8,8,0
200,347,3091,51.72,6,O,2,38.2,168,7,910,219,7,7,0
201,347,3092,57.21,6,O,2,38.2,168,7,910,219,0,0,0
202,347,3093,57.15,6,O,2,38.2,168,7,910,219,0,0,0
203,347,3091,56.98,6,O,2,38.2,168,7,911,219,0,0,0
204,347,3094,57.29,6,O,2,38.2,168,7,910,219,0,0,0
205,347,3094,53.84,6,O,2,38.2,168,7,911,219,0,0,0
206,347,3093,57.32,6,O,2,38.2,168,7,911,219,0,0,0
207,347,3091,57.02,6,O,2,38.2,168,7,911,219,0,0,0
208,347,3093,56.86,6,O,2,38.2,168,7,911,219,0,0,0
209,347,3092,57.45,6,O,2,38.2,168,7,911,219,0,0,0
210,347,3093,55.11,6,O,2,38.2,168,7,910,219,0,0,0
211,347,3092,57.23,6,O,2,38.2,168,7,910,219,0,0,0
212,347,3093,57.75,6,O,2,38.2,168,7,909,219,0,0,0
213,347,3092,56.88,6,O,2,38.2,168,7,910,219,0,0,0
214,347,3093,57.38,6,O,2,38.2,168,7,910,219,0,0,0
215,347,3092,53.97,6,O,10,38.2,168,7,910,219,0,0,3
216,347,3093,56.83,6,O,11,38.2,168,7,910,219,0,0,3
217,347,3092,57.14,6,O,12,38.2,168,7,912,219,0,0,3
218,346,3093,57.54,6,O,13,38.2,168,7,912,219,0,0,3
219,346,3092,57.39,6,O,14,38.2,168,7,912,219,0,0,3
220,346,3093,52.62,6,O,15,38.2,168,7,912,219,0,0,3
221,346,3091,56.69,6,O,16,38.2,168,7,912,219,0,0,3
222,346,3094,57.25,6,O,17,38.2,168,7,912,219,0,0,3
223,346,3094,57.19,6,O,18,38.2,168,7,910,219,5,5,3
224,346,3091,57,6,O,19,38.2,168,7,912,219,4,4,3
225,346,3094,54.49,6,O,20,0,168,7,911,219,7,7,3
226,346,3093,57.38,6,O,21,35.5,168,7,912,219,1,1,3
227,346,3091,57.22,6,O,22,36.2,168,7,912,219,0,0,3
228,346,3094,57.32,6,O,23,36.6,168,7,912,219,2,2,3
229,346,3096,56.82,6,O,24,36.1,168,7,912,219,1,1,3
230,346,3095,54.44,6,O,25,38,168,7,910,219,3,3,3
231,346,3096,57.25,6,O,26,35.4,168,7,912,219,4,4,3
232,346,3095,56.88,6,O,27,36.2,168,7,912,219,6,6,3
233,346,3098,57.22,6,O,28,38.2,168,7,912,219,2,2,3
234,346,3097,57.55,6,O,3,38.2,168,7,912,219,1,1,3
235,346,3097,54.07,6,O,3,38.2,168,7,912,219,3,3,3
236,346,3094,56.59,6,O,3,38.2,168,7,912,219,4,4,3
237,346,3094,57.07,6,O,3,38.2,168,7,914,219,7,7,3
238,346,3097,56.72,6,O,4,40.02,168,7,914,219,8,8,3
239,346,3096,57.08,6,O,4,40.02,168,7,914,219,0,0,3
240,346,3092,55.44,6,O,4,40.02,168,7,914,219,0,0,3
241,346,3093,57.29,6,O,4,40.02,168,7,914,219,0,0,3
242,346,3092,57.2,6,O,3,40.02,168,7,909,219,0,0,3
243,346,3093,57.4,6,O,3,40.02,168,7,910,220,0,0,3
244,346,3092,57.24,6,O,3,40.02,168,7,910,221,0,0,3
245,346,3092,52.09,6,O,3,55.68,168,7,910,222,0,0,3
246,346,3091,56.69,6,O,3,55.68,168,7,910,223,0,0,3
247,346,3095,57.46,6,O,9,55.68,168,7,909,224,0,0,3
248,346,3092,57.29,6,O,9,55.68,168,7,910,225,0,0,3
249,346,3094,57.04,6,O,9,55.68,168,7,910,226,0,0,3
250,346,3092,55.21,6,O,9,55.68,168,7,910,227,0,0,3
251,346,3092,57.21,6,O,9,55.68,168,7,910,228,0,0,3
252,346,3092,57.22,6,O,9,55.68,168,7,910,229,0,0,3
253,346,3092,56.98,6,O,9,55.68,168,7,910,230,0,0,3
254,346,3093,57.21,6,O,9,55.68,168,7,910,231,0,0,3
255,346,3088,55.72,6,O,9,55.68,168,7,910,232,0,0,3
256,346,3091,57.11,6,O,2,55.68,168,7,910,233,0,0,3
257,346,3091,57.39,6,O,2,55.68,168,7,910,234,0,0,3
258,346,3091,57.33,6,O,2,55.68,168,7,910,235,0,0,3
259,346,3084,57.29,6,O,2,55.68,168,7,910,236,0,0,3
260,346,3083,52.3,6,O,2,55.68,168,7,910,237,0,0,3
261,346,3084,57.07,6,O,2,48.87,168,7,910,238,9,9,3
262,346,3083,56.9,6,O,2,48.87,168,7,910,239,8,8,3
263,346,3084,57.19,6,O,2,48.87,168,7,909,240,7,7,3
264,346,3083,57.2,6,O,2,45.12,168,7,909,241,0,0,3
265,346,3085,52.41,6,O,2,65.78,168,7,909,242,0,0,3
266,346,3086,57.49,6,O,2,65.78,168,7,910,243,0,0,3
267,346,3083,57.41,6,O,2,65.78,168,7,910,244,0,0,3
268,346,3084,57.04,6,O,2,65.78,168,7,910,245,0,0,3
269,346,3079,57.63,6,O,2,65.78,168,7,910,246,0,0,3
270,346,3082,54.36,6,O,2,65.78,168,7,910,247,0,0,3
271,346,3082,57.4,6,O,2,65.78,168,7,912,248,0,0,3
272,346,3082,56.88,6,O,2,65.78,168,7,912,249,0,0,3
273,346,3082,56.91,6,O,2,65.78,168,7,912,250,0,0,3
274,346,3080,57.89,6,O,2,65.78,168,7,912,251,0,0,3
275,346,3081,55.49,6,O,2,65.78,168,7,912,252,0,0,3
276,346,3082,57.04,6,O,2,65.78,168,7,912,253,0,0,3
277,346,3081,57.55,6,O,2,65.78,168,7,912,254,0,0,3
278,346,3080,57.12,6,O,2,65.78,168,7,912,255,0,0,3
279,346,3081,57.5,6,O,2,65.78,168,7,912,235,0,0,3
280,346,3080,54.53,6,O,2,65.78,168,7,911,235,0,0,3
281,346,3080,56.34,6,O,2,65.78,168,7,911,235,0,0,3
282,346,3080,57.11,6,O,2,65.78,168,7,912,235,0,0,3
283,346,3082,56.93,6,O,2,65.78,168,7,912,235,0,0,3
284,346,3081,57.06,6,O,2,65.78,168,7,912,235,0,0,3
285,346,3079,55.17,6,O,2,65.78,168,7,910,235,0,0,3
286,346,3082,57.63,6,O,2,65.78,168,7,912,235,0,0,3
287,346,3079,57.6,6,O,2,65.78,168,7,912,235,0,0,3
288,346,3079,57.22,6,O,2,35.5,168,7,912,235,0,0,3
289,346,3082,57.46,6,O,2,36.2,168,7,912,235,0,0,3
290,346,3082,56.23,6,O,2,36.6,168,7,912,235,0,0,3
291,346,3082,52.31,6,O,2,36.1,168,7,912,235,0,0,3
292,346,3082,57.64,6,O,2,38,168,7,910,235,0,0,3
293,346,3080,57.22,6,O,2,35.4,168,7,913,235,0,0,3
294,346,3079,57.13,6,O,2,36.2,168,7,910,235,0,0,3
295,346,3082,57.43,6,O,2,38.2,168,7,910,235,0,0,3
296,346,3082,55.53,6,O,2,38.2,168,7,910,235,0,0,3
297,346,3082,57.59,6,O,2,38.2,168,7,910,235,0,0,3
298,346,3081,57.29,6,O,2,38.2,168,7,910,235,0,0,3
299,346,3080,57.22,6,O,2,38.2,168,7,910,235,0,0,3
300,346,3081,56.71,6,O,2,38.2,168,7,910,235,0,0,3
301,346,3079,55.16,6,O,2,38.2,168,7,910,235,0,0,3
302,346,3082,57.28,6,O,2,38.2,168,7,910,235,0,0,3
303,346,3084,57.46,6,O,2,38.2,168,7,910,235,0,0,3
304,346,3079,56.71,6,O,2,42.56,168,7,910,235,0,0,3
305,346,3082,56.99,6,O,2,42.56,168,7,910,235,0,0,3
306,346,3079,55.58,6,O,2,42.56,168,7,910,235,0,0,3
307,346,3079,57.08,6,O,2,42.48,168,7,910,235,0,0,3
308,346,3082,56.94,6,O,2,42.48,168,7,910,235,3,3,3
309,346,3080,56.78,6,O,10,42.48,168,7,910,235,5,5,3
310,346,3081,57.1,6,O,10,42.48,168,7,910,235,0,0,3
311,346,3079,55.4,6,O,10,42.48,168,7,910,235,0,0,3
312,346,3082,57.01,6,O,10,42.48,168,7,908,235,0,0,3
313,346,3082,56.86,6,O,10,42.48,168,7,908,235,0,0,3
314,366,3081,56.96,6,O,10,42.48,100,7,1141,450,0,0,3
315,366,3082,57.52,6,O,2,42.48,100,7,1141,450,0,0,3
316,366,3081,57.45,6,O,2,41.96,100,7,1141,450,0,0,3
317,366,3080,57.48,6,O,2,41.87,100,7,1141,450,0,0,3
318,366,3081,56.86,6,O,2,35.39,100,7,1141,450,0,0,3
319,371,3079,57.21,6,O,2,35.39,100,7,1199,450,0,0,3
320,371,3082,56.93,6,O,2,35.39,100,7,1199,450,0,0,3
321,371,3081,54.04,6,O,2,35.39,100,7,1198,450,0,0,3
322,371,3080,57.35,6,O,2,35.39,100,7,1201,450,0,0,3
323,371,3082,56.88,6,O,2,35.39,100,7,1206,450,0,0,3
324,337,3082,57.38,6,O,2,30.9,45,7,836,121,0,0,3
325,347,3082,57.42,6,O,2,59.1,44,7,838,122,0,0,3
326,348,3082,52.34,6,O,2,59,44,7,842,123,0,0,3
327,348,3082,57.37,6,O,2,60.87,44,7,839,124,0,0,3
328,349,3082,57.04,6,O,2,60.87,44,7,841,125,0,0,3
329,351,3081,57.25,6,O,3,60.87,44,7,841,126,0,0,3
330,351,3079,57.29,6,O,3,60.87,44,7,841,127,0,0,3
331,351,3082,52.73,6,O,3,60.87,44,7,841,128,0,0,3
332,351,3082,57.13,6,O,2,60.87,44,7,841,129,1,0,3
333,351,3083,57.25,6,O,2,60.87,44,7,841,130,0,0,3
334,351,3081,57.13,6,O,2,58.46,44,7,841,131,2,0,3
335,351,3079,56.92,6,O,2,58.46,44,7,841,132,1,0,3
336,351,3081,54.78,6,O,2,58.46,44,7,841,133,3,3,3
337,351,3079,57.32,6,O,2,58.46,44,7,841,134,4,4,3
338,351,3079,57.14,6,O,2,58.46,44,7,841,135,6,6,3
339,351,3082,57.07,6,O,3,58.46,44,7,841,136,2,2,3
340,351,3082,57.76,6,O,2,58.46,44,7,841,137,1,1,3
341,351,3079,56.42,6,O,2,58.46,44,7,841,129,3,3,3
342,351,3082,57.11,6,O,2,58.46,44,7,841,130,4,4,3
343,351,3082,57.14,6,O,2,59.54,44,7,841,131,7,7,3
344,351,3082,57.45,6,O,2,43.53,44,7,841,132,8,8,3
345,351,3082,57.04,6,O,2,43.53,44,7,841,133,10,10,3
346,351,3082,55.89,6,O,2,43.53,44,7,841,134,1,1,3
347,351,3082,57.21,6,O,45,46.85,44,7,841,135,3,3,3
348,351,3080,55.11,6,O,7,46.85,44,7,841,136,2,2,3
349,351,3080,49.56,6,O,6,46.85,44,7,841,137,1,1,3
350,351,3080,55.51,6,O,6,46.85,44,7,841,138,1,1,3
351,351,3081,45.15,6,O,6,56.36,44,7,841,168,2,2,3
352,351,3079,54.31,6,O,6,56.36,44,7,841,169,3,3,3
353,351,3082,52.85,6,O,6,56.36,44,7,844,170,5,5,3
354,351,3082,51.98,6,O,2,56.36,44,7,844,171,4,4,3
355,351,3080,54.06,6,O,2,56.36,44,7,841,172,6,6,3
356,351,3080,50.59,6,O,2,56.36,44,7,841,173,1,1,3
357,351,3080,53.16,6,O,2,46,44,7,841,174,2,2,3
358,351,3079,46.67,6,O,2,46,44,7,841,175,15,15,3
359,351,3082,52.77,6,O,2,46,44,7,841,176,2,2,3
360,351,3082,54.23,6,O,2,45.16,192,7,841,177,3,3,3
361,351,3082,53.63,6,O,2,45.16,192,7,841,178,2,2,3
362,351,3082,54.07,6,O,2,45.16,192,7,842,179,1,1,3
363,351,3079,55.66,6,O,2,45.16,192,7,843,180,3,3,3
364,351,3079,51.16,6,O,2,47,192,7,843,172,5,5,3
365,351,3082,56.11,6,O,47,47.56,192,7,843,172,4,4,3
366,351,3083,51.51,6,O,35,24,192,7,843,172,6,6,3
367,351,3081,55.77,6,O,35,38.2,192,7,843,172,9,9,3
368,351,3080,55.96,6,O,35,38.2,192,7,843,172,8,8,3
369,351,3082,55.44,6,O,22,38.2,192,7,843,172,7,7,3
370,351,3080,55.88,6,O,12,38.2,192,7,843,172,0,12,3
371,351,3080,54.69,6,O,2,38.2,192,7,843,172,0,3,3
372,351,3079,56.88,6,O,2,38.2,192,7,843,172,0,5,3
373,351,3079,54.15,6,O,2,38.2,192,7,843,172,0,19,3
374,351,3082,54.59,6,O,2,38.2,192,7,843,172,0,2,3
375,351,3082,56.25,6,O,2,38.2,192,7,843,172,0,4,3
376,351,3082,51.19,6,O,2,38.2,192,7,843,172,0,3,3
377,351,3082,55.98,5,O,2,38.2,192,7,843,172,0,2,3
378,351,3082,53.98,5,O,2,38.2,192,7,843,172,0,10,3
379,351,3112,45.28,6,O,2,38.2,192,7,843,172,0,6,3
380,351,3116,44.48,6,O,2,38.2,192,7,843,172,0,9,3
381,351,3112,52.52,8,O,2,38.2,192,7,843,172,0,8,3
382,351,3112,42.46,8,O,2,38.2,192,7,843,172,0,7,3
383,351,3112,43.84,8,O,2,38.2,192,7,843,172,0,12,3
384,351,3112,36.83,8,O,45,38.2,192,7,843,172,0,12,3
385,351,3112,47.6,8,O,45,38.2,192,7,843,172,0,3,3
386,351,3112,44.94,8,O,35,38.2,192,7,843,172,0,5,3
387,351,3111,43.8,8,O,30,38.2,192,7,843,172,0,19,3
388,351,3110,42.2,8,O,25,38.2,192,7,843,172,0,2,3
389,351,3111,40.22,8,O,10,38.2,192,7,843,172,0,4,3
390,351,3110,43.64,8,O,2,35.5,192,7,843,172,0,3,3
391,351,3111,41.77,8,O,2,36.2,192,7,843,172,0,2,3
392,351,3110,41.06,8,O,2,36.6,192,7,843,172,10,10,3
393,351,3111,45.6,8,O,2,36.1,192,7,843,172,6,6,3
394,351,3110,48.84,8,O,2,38,192,7,843,173,9,9,3
395,351,3111,46.95,8,O,2,35.4,192,7,843,173,8,8,3
396,351,3109,47.59,8,O,2,36.2,192,30,843,173,7,7,3
397,351,3112,44.71,8,O,2,38.2,192,30,843,173,12,12,3
