FD,Concurrency,time,Apache_Child_Process,no. of processes,iowait,staytime,authenticated,transactions,deleted,failure,no. of connections,halfopen,Errors,memory
1471,5,236,4,337,5.95,3,4,4,45,0,890,135,O,20
1477,5,237,4,337,4.06,3,7,7,45,0,890,135,O,20
1474,5,238,4,337,1.69,3,8,8,45,0,890,135,O,20
1473,5,239,4,337,4.77,3,10,9,45,0,890,135,O,20
1472,5,240,4,336,2.81,3,1,1,45,0,890,135,O,20
1474,5,241,4,336,6.06,3,3,3,45,0,890,135,O,20
1474,5,242,4,336,5.44,3,2,2,45,0,890,135,O,20
1474,5,243,4,336,3.82,3,1,1,45,0,890,135,O,20
1473,5,244,4,336,5.81,3,1,1,45,0,890,135,O,20
1472,5,245,4,336,5.89,3,2,2,45,0,890,135,O,20
1474,5,246,4,336,5.93,3,3,3,45,0,890,135,O,20
1471,5,247,4,336,5.38,3,5,5,45,0,890,135,O,20
1474,5,248,4,336,5.87,3,4,4,45,0,890,135,O,20
1471,5,249,4,336,5.82,3,6,6,45,0,890,135,O,20
1471,5,250,4,336,5.88,3,1,1,45,0,890,135,O,20
1474,5,251,4,336,5.93,3,2,2,45,0,890,135,O,20
1472,5,252,4,336,4.25,3,15,15,45,0,890,135,O,20
1474,5,253,4,336,4,3,2,2,45,0,890,135,O,20
1474,5,254,4,336,4.63,3,3,3,45,0,890,135,O,20
1474,5,255,4,335,4.99,3,2,2,45,0,890,135,O,20
1472,5,256,4,335,5.04,3,1,1,45,0,890,135,O,20
1474,5,257,4,335,5.95,3,3,3,45,0,890,135,O,20
1471,5,258,4,335,5.89,3,5,5,45,0,890,135,O,20
1474,5,259,4,333,5.45,3,4,4,45,0,890,135,O,20
1474,5,260,4,333,5.74,3,6,6,45,0,890,135,O,20
1474,5,261,4,333,6.1,3,9,9,45,0,890,135,O,20
1476,5,262,4,333,6.45,3,8,8,45,0,890,135,O,20
1471,5,263,4,333,5.93,3,7,7,45,0,890,135,O,20
1474,5,264,4,333,5.25,3,12,12,45,0,890,135,O,20
1474,5,265,4,333,5.44,3,3,3,45,0,890,135,O,20
1472,5,266,4,333,5.32,3,5,5,45,5,890,135,O,20
1474,5,267,4,333,6.74,3,19,19,45,5,890,135,O,20
1474,5,268,4,333,3.56,3,2,2,45,5,890,135,O,20
1474,5,269,4,332,5.17,3,4,4,45,5,890,135,O,20
1474,5,270,4,332,5.88,3,3,3,45,5,890,135,O,20
1471,5,271,4,332,6.11,3,2,2,45,5,890,135,O,20
1476,5,272,4,332,2.89,3,10,10,45,0,890,135,O,20
1472,5,273,4,332,2.19,3,6,6,45,0,890,135,O,20
1474,5,274,4,332,4.48,3,9,9,45,0,890,135,O,20
1474,5,275,4,332,5.7,3,8,8,45,0,890,135,O,20
1477,5,276,4,332,5.74,3,7,7,45,0,890,135,O,20
1474,5,277,4,332,5.51,3,12,12,45,0,890,135,O,20
1471,5,278,4,332,2.94,3,4,4,45,0,890,135,O,20
1474,5,279,4,332,2.19,3,3,3,45,0,890,135,O,20
1453,5,280,4,332,4.75,3,2,2,45,0,890,135,O,20
1452,5,281,4,332,6.88,3,10,10,45,0,890,135,O,20
1452,5,282,4,332,6.28,3,6,6,45,0,890,135,O,20
1432,5,283,4,332,4.93,3,9,9,45,0,890,135,O,20
1459,5,284,4,332,6.05,3,8,8,45,0,890,135,O,20
1469,5,285,4,332,5.9,3,7,7,45,0,890,135,O,20
1464,5,286,4,332,5.99,3,12,12,45,0,890,135,O,20
1467,5,287,4,332,7.25,3,3,3,45,0,890,135,O,20
1464,5,288,4,332,5,3,5,5,45,0,890,135,O,20
1464,5,289,4,332,5.5,3,4,4,45,0,890,135,O,20
1464,5,290,4,332,5.81,3,6,6,45,0,890,135,O,20
1473,5,291,4,332,7.95,3,9,9,45,0,880,120,O,20
1473,5,292,5,332,4.68,3,8,8,45,0,880,120,O,20
1472,5,293,5,332,5.74,3,7,7,45,0,880,120,O,20
1474,5,294,5,332,5.79,3,12,12,45,0,880,120,O,20
1473,5,295,5,332,8.35,3,3,3,45,0,880,120,O,20
1471,5,296,5,332,5.74,3,5,5,45,0,880,120,O,20
1474,5,297,5,332,7.37,3,19,19,45,0,880,120,O,20
1472,5,298,5,332,6.09,3,2,2,45,0,880,120,O,20
1474,5,299,5,332,5.88,3,4,4,45,0,880,120,O,20
1474,5,300,5,332,6.07,3,3,3,45,0,880,120,O,20
1471,5,301,5,332,3.94,3,2,2,45,0,880,120,O,20
1473,5,302,5,332,6.07,3,10,10,45,0,880,120,O,20
1473,5,303,5,332,4.89,3,6,6,45,0,880,120,O,20
1474,5,304,5,332,5.43,3,9,9,45,0,880,120,O,20
1474,5,305,5,332,4.89,3,8,8,45,0,880,120,O,20
1472,5,306,5,332,3.43,3,7,7,45,0,880,120,O,20
1474,5,307,5,332,5.92,3,12,12,45,0,880,120,O,20
1474,5,308,5,332,5.99,3,3,3,45,0,880,120,O,20
1474,5,309,5,332,5.94,3,5,5,45,0,880,120,O,20
1472,5,310,5,332,5.65,3,19,19,45,0,880,120,O,20
1473,5,311,5,332,5.94,3,2,2,45,0,880,120,O,20
1473,5,312,5,332,6.67,3,4,4,45,0,880,120,O,20
1472,5,313,5,332,5.94,3,3,3,45,0,880,120,O,20
1474,5,314,5,332,5.34,3,2,2,45,0,880,120,O,20
1474,5,315,5,332,5.83,3,10,10,45,0,880,120,O,20
1474,5,316,5,332,4.01,3,2,2,45,0,880,120,O,20
1474,5,317,5,332,6.3,3,3,3,45,0,880,120,O,20
1474,5,318,5,332,4.26,3,2,2,45,0,880,120,O,20
1474,5,319,5,332,3.32,3,5,5,45,0,880,120,O,20
1474,5,320,5,332,2.19,3,4,4,45,0,880,120,O,20
1474,5,321,5,332,3.39,3,7,7,45,0,880,120,O,20
1474,5,322,5,332,6.52,3,1,1,45,0,880,120,O,20
1474,5,323,5,332,5.94,3,0,0,44,0,880,120,O,20
1475,5,324,5,332,5.91,3,2,2,44,0,880,120,O,20
1474,5,325,5,332,5.56,3,1,1,44,0,880,120,O,20
1472,5,326,5,332,5.8,3,3,3,44,0,880,120,O,20
1474,5,327,5,332,5.81,3,4,4,44,0,880,120,O,20
1474,5,328,5,332,6.21,3,6,6,44,0,880,120,O,20
1472,5,329,5,332,5.85,3,5,5,44,0,880,120,O,20
1474,5,330,5,332,6,3,4,4,44,0,880,120,O,20
1471,5,331,5,332,6.32,3,7,7,44,0,880,120,O,20
1474,5,332,5,332,7.16,3,1,1,44,0,880,120,O,20
1474,5,333,5,332,5.88,3,0,0,44,0,880,120,O,20
1474,5,334,5,332,5.12,3,2,2,44,0,880,120,O,20
1472,5,335,5,332,5.26,3,1,1,44,0,880,120,O,20
1477,5,336,5,332,6.26,3,3,3,44,0,880,120,O,20
1472,5,337,5,332,7.25,3,4,4,44,0,880,120,O,20
1474,5,338,5,332,4.76,3,6,6,44,0,880,120,O,20
1474,5,339,5,332,13.53,3,2,2,44,0,880,120,O,20
1473,5,340,5,332,7.82,3,1,1,44,0,880,120,O,20
1474,5,341,5,332,10.7,3,3,3,44,0,880,120,O,20
1472,5,342,5,332,7.26,3,4,4,44,0,880,120,O,20
1474,5,343,5,332,7.61,3,7,7,44,0,880,120,O,20
1473,5,344,5,332,9.96,3,8,8,44,0,880,120,O,20
1474,5,345,5,332,6.76,3,10,10,44,0,880,120,O,20
1471,5,346,5,332,5.95,3,1,1,44,0,880,120,O,20
1472,5,347,5,332,9.9,3,3,3,44,0,880,120,O,20
1474,5,348,5,332,7.14,3,2,2,44,0,880,120,O,20
1474,5,349,5,332,9.15,3,1,1,44,0,880,120,O,20
1473,5,350,5,332,10.05,3,1,1,44,0,880,120,O,20
1474,5,351,5,332,8.89,3,2,2,44,0,880,120,O,20
1472,5,352,5,332,9.63,3,3,3,44,0,880,120,O,20
1474,5,353,5,332,8.74,3,5,5,44,0,880,120,O,20
1473,5,354,5,332,8.28,3,4,4,44,0,880,120,O,20
1474,5,355,5,332,5.34,3,6,6,44,0,880,120,O,20
1474,5,356,5,332,7.49,3,1,1,44,0,880,120,O,20
1472,5,357,5,332,11.9,3,2,2,44,0,880,120,O,20
1474,5,358,5,332,7.58,3,15,15,44,0,880,120,O,20
1472,5,359,5,332,5.84,3,2,2,44,0,880,120,O,20
1474,5,360,5,332,5.35,3,3,3,44,0,880,120,O,20
1471,5,361,5,332,6.02,3,2,2,44,0,880,120,O,20
1474,5,362,5,332,5.76,3,1,1,44,0,880,120,O,20
1472,5,363,5,332,5.95,3,3,3,44,0,880,120,O,20
1474,5,364,5,332,6.07,3,5,5,44,0,880,120,O,20
1474,5,365,5,332,6.33,3,4,4,44,0,880,120,O,20
1472,5,366,5,332,5.64,3,6,6,44,0,880,120,O,20
1473,5,367,5,332,6.61,3,9,9,44,0,880,120,O,20
1471,5,368,5,332,5.77,3,8,8,44,0,880,120,O,20
1472,5,369,5,332,6.02,3,7,7,44,0,880,120,O,20
1474,5,370,5,332,5.5,3,12,12,44,0,880,120,O,20
1472,5,371,5,332,5.07,3,3,3,44,0,880,120,O,20
1474,5,372,5,332,6.88,3,5,5,44,0,880,120,O,20
1471,5,373,5,332,6.13,3,19,19,44,0,880,120,O,20
1472,5,374,5,332,4.96,3,2,2,44,0,880,120,O,20
1473,5,375,5,332,6.5,3,4,4,44,0,880,120,O,20
1472,5,376,5,332,9.88,3,3,3,44,0,880,120,O,20
1476,5,377,5,332,12.06,3,2,2,44,0,880,120,O,20
1474,10,378,5,332,7.08,3,10,10,44,0,880,120,O,20
1474,10,379,5,333,11.77,3,6,6,44,0,880,120,O,20
1473,10,380,5,333,13.41,3,9,9,44,0,880,120,O,20
1471,10,381,5,333,12.67,3,8,8,44,0,880,120,O,20
1473,10,382,5,333,13.21,3,7,7,44,0,880,120,O,20
1474,10,383,5,333,12.56,3,12,12,44,0,880,120,O,20
1471,10,384,5,333,11.76,3,12,12,44,0,880,120,O,20
1472,10,385,5,333,12.48,3,3,3,44,0,880,120,O,20
1474,10,386,5,333,10.66,3,5,5,44,0,880,120,O,20
1473,10,387,5,333,10.31,3,19,19,44,0,880,120,O,20
1473,10,388,5,333,11.09,3,2,2,44,0,880,120,O,20
1474,10,389,5,333,6.57,3,4,4,44,0,880,120,O,20
1475,10,390,5,333,6.65,3,3,3,44,0,880,120,O,20
1472,10,391,5,333,6.89,3,2,2,44,0,880,120,O,20
1474,10,392,5,333,5.87,3,10,10,44,0,880,120,O,20
1474,10,393,5,333,5.92,3,6,6,44,0,880,120,O,20
1474,10,394,5,333,5.91,3,9,9,44,0,880,120,O,20
1471,10,395,5,333,9.99,3,8,8,44,0,880,120,O,20
1477,10,396,5,333,10.18,3,7,7,44,0,880,120,O,20
1472,10,397,5,333,10.34,3,12,12,44,0,880,120,O,20
1474,10,398,5,333,10.52,3,3,3,44,0,880,120,O,20
1471,10,399,5,333,10.17,3,5,5,44,0,880,120,O,20
1474,10,400,5,333,11.06,3,19,19,44,0,880,120,O,20
1472,10,401,5,333,10.93,3,2,2,44,0,880,120,O,20
1474,10,402,5,333,12.66,3,4,4,44,0,880,120,O,20
1474,10,403,5,333,10.6,3,3,3,44,0,880,120,O,20
1472,10,404,5,333,13.47,3,2,2,44,0,880,120,O,20
1474,10,405,5,333,13.42,3,10,10,44,0,880,120,O,20
1473,10,406,5,333,14.04,3,2,2,44,0,880,120,O,20
1474,10,407,5,333,20.91,3,3,3,44,0,880,120,O,20
1474,10,408,5,333,18.32,3,2,2,44,0,880,120,O,20
1474,10,409,5,333,7.62,3,5,5,44,0,880,120,O,20
1474,10,410,5,333,6.83,3,4,4,44,0,880,120,O,20
1474,10,411,5,333,8.94,3,7,7,44,0,880,120,O,20
1474,10,412,5,333,7.99,3,1,1,44,0,880,120,O,20
1474,10,413,5,333,11.24,3,0,0,44,0,880,120,O,20
1474,10,414,5,333,9.54,3,2,2,44,0,880,120,O,20
1472,10,415,5,333,8.37,3,1,1,44,0,880,120,O,20
1474,10,416,5,333,8.59,3,3,3,44,0,880,120,O,20
1471,10,417,5,333,8.94,3,4,4,44,0,880,120,O,20
1472,10,418,5,333,7.78,3,6,6,44,0,880,120,O,20
1474,10,419,5,333,7.53,3,5,5,44,0,880,120,O,20
1473,10,420,5,333,7.95,3,4,4,44,0,880,120,O,20
